Market capitalization	Oil price above benchmark price
75401.92	5.4301
70819.91	0
81087.1	16.3872
79011.16	0
76432.67	0
86767.651	39.4061
63779.1521	0
81388.2398	18.5786
72462.5949	0
78230.5971	9.3003
82711.3133	3.0174
88059.274	31.6802
74311.683	0
73479.1009	35.0952
69275.671	0
67025.0639	54.1767
65039.7054	19.4489
56840.5294	0
69008.5121	16.0701
81451.4306	4.9648
76903.0303	21.5845
78536.6283	0
76743.8435	12.585
87771.1727	0
86868.5085	24.3041
74772.2922	42.3614
62841.9088	0
70274.2218	0
80714.666	3.8867
84068.6773	33.6593
73807.0196	0
74845.9033	12.3829
79535.2005	8.8788
70212.4586	2.3324
90220.6888	0
94022.7173	0
86604.2679	59.0358
62037.3416	39.6376
45432.6792	31.2679
46733.6431	0
68578.9874	18.536
72076.6478	30.9267
74034.5931	0
71311.079	7.0901
79515.2909	0
88946.705	13.5961
65224.2629	44.8293
64704.2132	6.7635
54949.4507	15.9137
78194.1445	0
85383.9205	0
77594.4739	10.8654
82985.0083	9.3679
83719.0822	19.5368
71959.5694	23.3788
69253.4507	0
64819.8028	30.9086
56015.9474	24.3615
70152.1424	0
79123.2418	20.9709
